Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2007Sep,124926556.51,96.20,126081799.52,87.60,19925005.86,103.10,27678894.06,93.79,77641818.26,100.06,87360417.85,98.89,19222371.55,98.55,6436201.04,5868794.35,15043568.59,9575750.18,38246177.19,14201686.43,127446807.77,99.32,4931682.09,21661397.87,8738510.41,2770739.15,11467547.83,8336017.08,28299395.11,95.37,34759251.60,85.17,63557664.48,91.89,110339114.38,92.97,5233769.69,7313211.21,5615256.16,7538755.87,25651748.24,19752314.00,129219251.56,90.45,2804005.57,26034433.66,6235339.08,3605337.26,16736232.82,10981298.74
2007Aug,120541119.38,93.80,119845910.53,83.20,20042591.83,105.54,27837475.31,95.05,77761551.92,101.33,87648813.89,99.94,18545894.81,97.37,6253813.73,5653386.16,15020793.15,9100144.36,38754963.39,14728369.38,127096128.57,100.10,5014555.34,21829210.42,8858451.88,2790014.48,11155022.29,8163498.84,27463044.96,92.89,33846708.05,82.63,63805717.45,92.67,109487136.93,92.03,5299905.56,6799799.78,5244608.87,7598583.41,25714940.11,20037183.81,128037313.81,89.73,2894713.50,25883085.16,6091656.14,3611546.75,16463187.14,10443525.39
2007Jul,128024792.53,98.70,130611393.18,90.30,19846359.80,103.21,27293745.93,92.96,78208486.48,100.68,87019229.59,98.15,19393237.84,99.07,5992494.31,5583371.96,14965669.12,9670622.29,38824632.42,14672528.60,127187833.45,99.24,4883852.55,21160916.10,9332341.04,2771632.70,11113852.61,8125753.97,26191619.48,87.85,33621546.27,81.27,62419131.69,90.45,105607348.04,88.35,4980682.96,6722988.34,4942066.97,7350515.49,24620683.80,19596326.28,125309440.40,87.40,2756297.12,25773993.42,5870575.41,3294325.52,16438721.90,10833679.69
2007Jun,124639725.34,97.60,129883170.78,90.00,19515404.81,101.36,27114121.72,93.91,76045219.42,99.76,85127204.48,96.48,18149002.37,97.64,6117385.85,5586036.02,13829834.13,9248377.36,36917007.78,14439981.56,124416679.81,98.57,4908161.43,21487033.84,9163135.76,2696327.97,10615049.53,8160116.43,26787031.41,89.74,33662748.42,81.87,62495603.57,90.87,106428033.09,89.35,5248821.54,6667472.57,4937237.85,7339152.82,25267436.37,19307275.25,125704706.45,87.88,3137547.71,25526072.80,5981227.19,3297076.47,16596579.94,10453692.93
2007May,125461035.89,99.80,123917216.83,85.90,19040604.53,99.14,26318361.22,92.48,76493954.36,102.31,84834296.10,97.21,18793248.18,106.03,5949195.68,5288371.09,13630734.54,9525758.60,37827895.43,14256711.90,123497057.05,99.38,5080544.90,21171853.87,8572444.42,2643292.31,11027003.06,7259959.47,26485382.14,88.94,32639982.76,79.68,60612667.55,88.03,104565882.79,87.68,4942732.34,6791048.37,5063908.04,7051188.05,24370281.00,19123403.16,122513637.02,85.75,2875906.98,25388138.23,5942244.58,3401771.66,15999808.79,9412891.63
2007Apr,119935999.12,95.20,118614782.27,82.60,19023891.39,98.44,27269116.83,95.19,75790448.27,101.48,84985988.58,97.14,18381859.61,104.96,5942223.13,5795864.61,13691626.40,8766799.15,37363899.57,14394244.76,123603562.24,99.22,4926960.95,20959600.47,8834853.47,2637063.32,11359262.52,7503940.30,26889680.47,90.30,32252384.15,79.42,60717202.66,88.39,104977660.36,88.24,5416608.30,6803149.84,4773531.10,7116251.50,24016591.28,19037267.04,123126666.15,86.49,2949469.80,24933447.96,5627561.29,3356242.51,17206030.07,9715300.87
2007Mar,126906464.51,101.20,131524643.10,91.90,18758499.80,95.53,27410380.96,94.93,73406845.36,99.55,84071093.67,95.40,16272278.96,99.00,5821463.17,5690799.22,14944734.12,8801395.67,37259590.54,13976234.37,121242419.22,97.68,4805092.27,20732462.51,7949327.48,2656347.33,10616052.58,7791674.30,26442557.13,88.49,32833605.11,80.55,60364020.41,88.59,104743410.77,88.04,5036105.64,6752152.43,4641116.56,7255871.15,24111515.32,19027621.62,122363985.64,86.16,3049534.97,25017560.28,5716065.51,3401311.41,16092155.78,9957980.78
2007Feb,119673145.73,96.10,115670550.76,81.30,20467241.65,104.62,27109655.04,93.41,75858169.02,104.33,87226071.38,98.74,18137886.01,116.34,6403944.21,5746329.60,14379513.66,8996662.10,38376155.25,13920113.98,125655703.34,102.10,5085264.09,20742039.76,8751537.24,2753588.86,11589151.83,8389354.44,26346950.12,89.54,32232774.87,78.69,59793829.97,88.27,104338126.49,88.12,5037884.39,6966592.73,4920863.91,7036236.08,24162728.56,19160045.37,121343924.52,85.85,2911497.85,24575331.30,5460495.97,3235988.62,16580320.90,9182724.87
2007Jan,122289826.07,98.90,113032192.54,79.90,19674571.06,101.93,26006202.72,89.49,73087206.79,101.23,83657728.37,95.62,17050575.95,109.74,6030724.14,5528464.41,13749758.10,8837485.39,36590463.14,13487083.88,120670925.87,98.65,4974681.19,20432657.27,8277404.13,2566453.44,11370563.58,7546185.36,26322498.88,89.35,32467027.89,80.66,59495619.27,88.04,103172395.11,87.45,4963817.97,6846582.00,4550889.57,7116536.21,24021717.98,18808892.49,120719586.76,85.93,2927608.06,24063709.69,5392499.48,3475436.59,16364759.91,9571168.18
2006Dec,116171861.05,92.90,116519511.55,82.50,18660486.81,95.61,27020595.06,92.74,76455009.32,104.29,87066927.54,99.28,17861721.64,107.06,6203085.35,5667079.46,13831665.93,9183798.71,36876620.04,14061449.21,124109195.81,100.35,5079410.47,21157717.98,8543522.91,2547355.51,11876421.88,7679541.91,25577406.86,86.30,33769269.85,83.79,62041292.10,92.35,107787026.61,91.58,4822779.00,7228927.31,5041206.27,7058582.11,24627374.73,19010438.65,123724047.97,88.17,2864127.65,24747192.90,5797139.73,3390962.28,18262825.00,8481113.26
2006Nov,126105126.96,100.90,129235558.31,91.80,18351226.87,93.12,26473357.10,91.69,74334458.42,101.75,82765308.78,94.26,17629043.15,107.95,5654528.18,5400496.88,13685802.38,9182133.81,36574430.16,13661452.32,120743103.36,97.87,4700725.96,20281550.54,8123521.52,2527081.51,10366418.59,9161586.51,26137914.93,89.80,32075848.63,79.59,61145263.49,90.91,105175016.59,89.58,4742979.54,6876292.81,5102610.15,6896922.74,24490547.63,18468327.17,122683598.51,87.75,2946020.78,24001561.06,5666606.27,3427135.89,17222463.92,10992222.53
2006Oct,125693743.52,101.00,126743182.43,90.10,17966654.77,92.17,25990038.13,89.32,74136432.55,102.20,81964422.78,93.92,17762465.45,106.35,5851825.44,5198859.16,12702704.96,9333086.28,36140411.14,13595197.17,119768765.04,97.43,4880818.40,20044757.66,8035896.22,2505406.12,10872166.15,8230950.23,24935458.43,84.95,31760859.41,78.61,60079115.49,89.86,102368158.89,87.40,4864544.47,7194860.23,4906435.95,6409388.67,23914595.68,18443308.76,120134518.63,86.03,2939999.00,23624520.90,5641772.58,3226782.67,16418995.39,10492332.02
2006Sep,120836320.59,95.30,120823293.73,86.10,17940528.46,92.15,25609449.81,87.90,74621974.65,99.80,80851575.48,92.19,18998584.66,104.39,5402651.35,5387973.50,12446461.16,8907995.12,36208673.00,13860712.48,120092461.10,95.94,4807465.98,19781611.50,8714689.18,2530020.83,10341425.89,8908831.28,25519523.58,87.57,31023096.26,77.17,60466651.84,90.54,103022581.79,88.39,4784833.34,6628033.08,5121747.93,6728326.66,24617415.20,18496592.05,119550170.51,85.82,3018255.48,23070101.45,5519367.33,3412338.73,16946876.05,9161142.41
2006Aug,113640634.46,87.60,106629744.86,75.80,17174243.17,86.51,25220458.68,86.34,75803244.56,98.45,78698267.58,89.85,20496799.39,101.24,5555030.48,5320947.05,11608790.98,10190312.87,34492960.30,14020461.54,119827821.33,93.61,4798045.41,19225883.72,9798444.34,2492090.80,10513432.56,8357555.53,23471811.17,80.93,30803816.30,75.95,57006191.16,85.36,97225578.28,83.62,4477296.79,6405969.56,4532032.06,6253368.57,22344475.20,18860289.19,114572550.19,82.15,2879227.41,22254022.57,4773238.77,3249368.05,16639784.33,9232719.72
2006Jul,114396345.83,88.90,113318915.60,80.60,17608494.81,89.13,25250249.03,86.55,73650762.11,96.62,79080382.37,90.28,19399477.22,98.30,5794974.27,5292764.49,11806300.35,9268601.44,34711652.17,14137517.84,118309365.69,93.07,4842588.83,19427964.82,8744645.90,2471888.98,10747041.39,7641136.27,23353129.50,80.04,30081185.67,74.26,56513145.85,84.72,96188770.47,82.62,4231208.00,6546392.06,4367970.12,6457180.66,22339147.08,18097822.30,112862535.30,80.82,2824353.90,22074769.16,4679895.98,3156011.86,16606416.91,8627393.60
2006Jun,119377279.85,95.00,117925390.34,84.30,18966848.46,96.59,25008058.52,87.87,72315420.61,97.50,78631463.39,91.33,19625534.55,104.29,5488878.67,5202177.65,12073358.82,9193988.09,34751926.73,14076572.43,117712956.18,94.84,4956696.31,18640538.82,9642149.83,2519942.24,10644517.85,7558794.88,23866654.11,81.60,30509362.68,75.60,56105455.60,84.62,96196582.32,82.94,4844713.73,6230413.90,4268503.84,6534818.65,22006092.28,18530917.25,112708250.02,81.11,2721518.57,22095640.43,4607760.28,3295617.96,16380992.99,8120159.18
2006May,122466276.84,96.30,115772924.48,82.60,18445838.38,92.70,25602560.05,90.20,72491451.01,96.18,78560617.66,91.02,20104237.70,102.98,5439882.95,5121206.40,11870302.52,9248409.48,35465544.18,14953267.63,118087864.64,94.12,4806999.35,18636072.52,9560552.74,2491847.03,10035913.51,7089789.32,24049160.52,82.12,30490635.95,75.46,55523314.38,83.64,95619023.77,82.34,4233805.05,6248411.11,4011830.39,6365435.51,21780652.47,18140833.10,112466432.65,80.83,2852729.87,21768473.66,4476041.37,3347127.19,16530432.99,9596383.06
2006Apr,111696076.31,87.80,106716106.87,76.30,18816500.77,93.10,25474922.22,88.46,71728858.63,95.83,78793999.99,90.62,19293086.55,101.29,5250027.64,5120715.68,11958175.31,8904052.51,35400908.99,14854621.47,118154470.01,94.06,4712182.56,18358232.59,8942406.34,2518261.60,10885842.27,7822954.02,24252476.76,82.82,29853238.72,73.88,56733989.26,85.77,96757294.50,83.52,4458975.00,6252742.43,4180900.89,6346151.72,22724308.99,18430896.65,114157211.70,82.15,2848714.16,21974937.02,4468143.50,3290189.86,17088286.41,9156254.22
2006Mar,124248522.41,98.00,122826149.65,87.70,18281709.07,89.40,24882539.07,85.73,70746574.88,95.72,75442674.91,86.34,19757260.32,109.62,5330517.27,5073262.36,11475100.23,9087950.12,33374588.37,14567125.84,115224744.68,92.06,4658800.05,18199223.96,8923810.14,2403894.80,10075240.08,8280522.96,23169971.50,79.51,29664856.94,73.23,55148767.42,83.17,93466717.86,80.29,4316115.45,6083729.07,4263446.85,6242088.11,21584698.69,18043078.66,110714783.25,79.57,2882069.94,21176447.32,4301079.57,3246321.24,16803775.98,8898235.18
2006Feb,109871656.73,87.90,105449020.05,75.70,18515922.34,92.49,24796984.22,85.22,70098402.42,96.29,76423715.52,88.54,20293137.44,113.25,5351801.61,5001561.91,11378384.33,9362962.81,34487020.67,13964387.70,115476150.71,93.49,4863263.43,17786498.69,8786124.93,2263450.51,10614215.15,7884373.91,23589260.65,80.85,29653610.95,73.58,54707397.15,82.91,94460747.84,81.44,4349311.49,6175064.56,4259165.23,6417336.44,22349647.58,18097488.47,110732587.67,79.88,3080591.93,20742160.03,4382145.80,3249951.23,16769289.57,8223027.03
2006Jan,112563532.67,89.60,101413301.11,72.70,18130833.96,89.71,24620469.21,84.07,68618761.74,94.04,74459715.68,85.74,19084418.13,107.67,5073796.72,4964473.26,11198462.56,8643130.55,34002486.82,13500475.27,112733853.21,90.83,4672457.93,17939175.83,8730719.99,2241547.36,10119816.97,7536152.23,24493148.24,82.94,29120817.37,72.44,53925966.81,81.62,93580517.56,80.38,4532609.83,6078879.39,4110042.52,6238731.75,21555461.00,18050918.71,110281936.38,79.46,2912254.84,20453638.71,4295338.96,3072391.08,16343862.90,9702230.07
2005Dec,112631498.21,91.00,109376332.13,78.70,19494922.16,97.97,24629961.59,84.32,68330995.40,95.67,77751103.40,90.19,18169131.69,107.20,4952988.33,5356178.72,11348367.29,8656764.59,34772607.40,13406255.30,113931362.36,93.48,4815968.42,17236426.03,7861216.14,2334104.40,10685443.23,8611610.54,23305104.53,80.26,28795414.88,72.27,53711306.62,82.09,94171744.83,81.69,4063174.05,6161999.03,4208110.91,6551879.40,21322209.64,17213401.99,108186406.99,78.81,2932725.31,20092928.00,4169295.77,3498408.93,16907220.48,7977530.12
2005Nov,117140949.85,95.90,113173249.13,82.10,19956316.54,100.53,23646641.61,82.65,66344310.71,94.25,75386044.55,88.54,18836483.11,111.49,4879766.20,4994975.25,10726422.03,9100098.79,33552901.23,13674072.47,111744869.29,92.94,4743105.49,17137462.71,7316052.59,2284422.16,10371901.12,8412121.26,22568232.59,78.78,29211184.55,73.31,53074303.03,81.71,91755511.63,80.09,4291187.71,5816586.03,3730703.13,6570027.78,20889979.24,17873755.65,107655466.75,78.91,2816913.25,19926601.62,4102403.69,3050946.93,16310288.20,8717992.16
2005Oct,110309624.10,90.50,108811609.02,78.80,18591017.43,91.66,23664947.24,83.59,64265625.88,91.74,73166246.67,86.04,18122367.34,103.80,4929627.50,5187100.36,10286895.51,8504063.22,31977300.29,13102067.59,108397126.86,90.27,4445645.05,16788746.57,7699486.12,2218890.37,10448296.49,7489199.51,22683184.11,79.18,28437389.92,71.28,52246381.99,80.34,90479248.36,78.87,4121923.19,5944686.31,3722238.85,6331629.88,20694795.55,17144191.85,106410483.90,77.91,2829272.96,19586451.62,4038696.54,3234323.08,15978665.00,9263994.95
2005Sep,111136623.80,91.00,110802004.10,80.70,17901565.57,90.07,23601292.87,83.26,64417199.82,91.29,71994781.88,85.09,18381234.58,101.49,4770796.56,4996038.91,10311984.13,9200982.10,31542100.20,13519978.39,107648335.85,89.43,4487618.16,16609608.24,7486839.52,2164022.71,10146168.52,7322919.11,23161180.16,80.45,28648776.73,72.08,52208472.20,81.08,91107506.90,79.82,4010545.66,5919763.48,3917657.75,6538776.54,21570205.63,17135235.60,106509938.25,78.37,2799588.03,19305985.89,3972803.35,3132760.58,16107076.31,8831364.65
2005Aug,101786311.94,83.20,98132965.54,71.50,18467466.25,91.49,23549043.87,83.18,63850929.24,90.48,72672768.38,85.36,17046929.39,97.73,4813971.85,4971561.53,10602914.47,9079847.01,31946670.58,13085245.99,107038426.06,88.81,4598048.73,16523873.47,7386913.29,2159120.74,10590086.23,6482278.19,23692224.67,81.89,27687675.52,69.75,51453736.93,79.90,90592181.77,79.07,4008933.56,6038886.13,3799180.53,6641896.57,21371334.21,17088008.99,105408820.13,77.46,2887374.35,19041377.56,4003779.01,3114794.48,15966273.53,8118295.79
2005Jul,99943663.89,83.20,104992346.50,77.00,17616463.53,86.65,22645032.61,80.63,61574317.49,89.77,71394162.21,83.85,16027476.39,98.46,4402357.08,4900977.30,10455671.85,8425608.88,31229921.12,12919584.36,103388323.11,87.30,4518273.46,16144164.60,7054907.21,2079436.49,10185077.97,5900444.04,23127372.41,80.33,27577849.12,70.19,50513881.38,78.64,90493992.87,79.28,4195781.20,5871596.07,3795924.73,6231419.28,21281288.03,17388973.24,103850896.45,76.79,2856991.94,18733842.65,3711741.65,2975825.72,15611587.63,7703680.83
2005Jun,102999772.33,88.70,108059575.90,79.70,17542243.67,88.16,22104945.14,79.56,58195830.66,88.61,68518797.10,81.50,14497827.68,99.52,4324075.99,4985392.97,9601907.94,7451120.38,29332857.03,12657498.89,99675952.64,86.91,4304965.56,15737787.48,6751618.39,1988263.36,9633888.93,6924792.74,21837071.96,76.32,27445469.37,70.40,48865775.56,76.55,86494356.44,76.15,3637747.95,5771474.96,3385895.20,5651860.62,20149530.16,16784840.38,100476894.23,74.77,2803681.18,18301428.39,3679194.50,2752083.94,15400806.18,8320109.21
2005May,99965944.15,87.90,100737112.30,74.80,16679996.92,85.57,22276674.06,81.50,58238161.15,91.29,69012767.22,83.24,14043009.50,104.36,4153977.93,4841794.35,9737549.49,7742753.17,29485429.95,12444187.51,98971878.41,88.37,4331575.78,16190420.86,6873798.70,2068690.45,9810966.83,5268666.44,21480159.90,75.44,26659977.22,68.75,50489526.60,79.99,87042042.16,77.22,3814249.48,5930317.28,3313042.96,6178348.60,19838638.89,17089624.78,101661733.26,76.23,2736539.36,18497362.94,3736125.98,2762300.82,15461711.85,8454129.35
2005Apr,101506972.86,88.90,101054641.69,74.90,17389771.62,88.56,21796604.70,80.41,58975071.49,91.71,68248132.64,82.22,14563157.61,104.39,4302446.78,4681781.45,9501717.53,7278598.78,28488559.01,12937665.32,100225579.80,89.13,4381154.01,15928173.45,6672647.50,2058266.49,10334287.98,7556410.88,21705614.45,75.21,26798097.83,68.92,49095226.56,77.78,86297539.92,76.27,3909695.23,5841130.37,3323002.86,5821125.97,19928796.33,16892090.11,99806610.05,74.55,2993611.05,18334977.11,3656057.13,2798173.97,14794237.63,7965143.45
2005Mar,100210594.96,88.00,102877058.70,76.70,15281453.22,78.01,21680114.21,78.78,57399085.03,89.86,66114918.22,79.24,14752679.87,110.50,4055191.77,4561077.29,9288003.04,7405471.78,28705348.75,12362888.17,96073662.10,85.56,4464746.38,15314776.71,6697679.56,2120292.64,9109328.47,5753576.92,21225027.77,75.01,26091512.49,67.10,47804655.86,76.12,84119863.28,74.72,3551629.00,5925559.23,3393897.02,5733534.69,19410149.71,16722578.59,97429892.04,73.33,2899921.38,17774508.12,3448425.78,2677348.63,14464095.66,7568388.15
2005Feb,88934899.54,80.10,91161669.67,68.20,15249691.19,78.04,21115478.06,77.04,55359526.73,89.92,65696689.08,79.24,12801666.36,107.38,4098822.32,4319090.30,8938426.08,6517352.65,27516832.64,12281070.19,93616802.56,85.30,4202485.05,15274973.40,6538816.11,2106026.37,9295641.27,5702668.06,20459924.11,72.13,25820484.72,66.93,47154281.53,75.27,83793999.11,74.62,3669333.90,5818406.02,3369910.35,5385564.25,18757526.81,17161660.48,95562645.13,72.11,2818268.34,17683710.99,3456158.48,2522428.48,14659059.56,6423649.09
2005Jan,90172868.71,82.20,87292243.51,65.60,15238110.40,78.66,21218771.10,76.89,55473701.06,92.56,66240097.22,80.00,12382783.36,111.27,3932685.32,4645328.40,8342287.88,6605761.56,26802279.12,12074071.43,93250093.44,86.26,4356576.68,15776068.09,5647808.25,2117674.74,9414799.34,6236122.63,21330976.06,75.20,25924514.93,67.56,47947007.90,77.23,85219737.54,76.08,3663879.80,5864477.11,3469911.14,5615714.48,19923206.64,16733389.49,98075362.54,74.49,2814133.86,17743946.88,3520469.51,2642899.67,14843286.20,7504519.01
2004Dec,93687599.01,84.70,98280235.51,73.50,15698967.89,78.99,20808894.34,76.44,54447702.85,90.59,64845346.90,78.22,11513864.42,103.30,3724188.41,4359302.85,8369195.85,6183822.59,27205786.00,11849753.34,92342261.54,85.19,4399477.31,14982269.83,5798204.73,2071669.49,9439497.42,6913590.30,20772003.35,73.05,25346422.56,65.96,47030029.96,76.44,82871508.66,74.26,3504403.92,5745158.04,3284484.27,5294019.73,19028508.88,16033786.72,95331508.24,72.68,2759506.61,17111467.48,3408374.74,2623835.85,14117206.72,8579422.36
2004Nov,100598686.04,89.60,101905302.66,75.80,16224992.15,82.03,21461617.10,78.30,56170275.17,91.11,67600936.56,81.33,12614210.16,101.17,3865938.92,4836183.98,8595269.07,6663169.97,27862375.41,12626067.72,95489111.53,86.77,4722422.47,15828385.42,6039035.60,2037244.40,9693469.43,5994068.72,20586940.18,72.94,26057428.27,67.37,47096031.23,75.76,83433861.73,74.48,3755612.11,5632354.82,3214011.06,5225510.29,18443707.98,17907406.00,96892262.96,73.40,2683484.71,17490896.15,3254735.52,2559801.10,14676102.72,7909237.84
2004Oct,97461661.83,85.50,101373979.72,75.90,16045108.86,80.44,21783244.09,79.04,55068093.78,87.38,66752143.62,79.90,12904153.98,96.02,3823422.42,4611634.73,8317899.65,6979224.82,27109329.96,12844997.20,94780367.48,84.86,4468014.46,15057402.13,5755837.84,2041949.01,9851494.50,6605243.59,21325400.09,75.55,26031735.75,68.02,47552622.88,76.69,84582556.89,75.99,3408676.48,5674419.95,3390107.47,5655825.40,18989677.52,17901418.43,96802312.30,73.71,2699596.79,17206118.92,3186633.77,2767492.48,14842789.83,7018879.18
2004Sep,96305626.88,85.70,97826710.12,73.10,15660002.22,78.32,20871026.81,75.53,54824251.62,89.43,65200326.75,78.14,12550648.60,102.40,4055012.89,4778452.31,7897242.40,6416613.64,26845199.68,12704837.96,93250670.22,84.62,4536585.89,14837970.77,5756736.56,2068074.26,9555861.44,6321398.20,19894033.87,70.57,25706719.39,66.64,46422812.78,75.16,81652457.96,73.17,3408516.49,5655677.84,3282672.08,5500107.28,18340590.81,17325319.30,94415229.49,71.80,2797864.08,16762085.54,3188563.33,2694307.16,14105368.36,7429065.74
2004Aug,84131001.76,74.90,85531536.46,63.70,15533556.37,78.25,20804329.67,75.39,52919474.19,86.08,64230360.83,77.18,11781555.74,96.96,3762719.09,4364762.17,7891429.43,6206629.47,26518315.30,12586589.32,90299310.41,82.06,4537396.93,14707919.40,5274812.78,2044644.36,9593451.50,5300767.36,20116035.70,70.48,24982540.60,64.67,46553670.66,75.27,81266737.65,72.55,3418772.88,5529625.32,3187999.31,5470408.07,18979891.44,16643784.74,94576623.89,71.74,2799642.59,16649485.15,3116031.78,2682306.28,14362922.54,7858499.87
2004Jul,89148004.40,80.60,101472861.84,75.70,14990026.91,73.39,21026694.63,76.40,52471150.81,88.18,64318211.89,76.99,10766553.55,99.27,3853805.69,4479519.21,7861668.27,6296351.82,26124559.19,12536708.90,90215600.13,83.22,4626258.07,14393637.23,5045566.12,2004044.95,9275201.66,6212239.87,20769887.13,73.13,25979116.49,66.90,47635531.60,77.12,84956593.89,75.84,3397772.16,5923753.10,3474075.27,5706731.05,19600360.63,17805851.88,96359362.28,73.09,2823085.03,16643696.54,3188356.48,2713918.99,14965866.48,6367055.21
2004Jun,93611827.66,85.10,100830062.45,75.60,15883428.72,78.78,20505384.78,74.61,52054105.31,87.98,64208316.69,77.25,10857452.87,101.26,3866657.31,4322246.12,7888150.61,6308952.27,25764787.71,12364109.08,89974963.46,83.35,4480524.56,14259958.24,5107400.19,1993748.48,9848801.09,6062541.29,19988771.59,70.20,26221661.61,68.15,46187949.93,75.26,82429275.84,73.96,3225146.67,5592234.54,3673493.17,5622202.40,19075954.80,17355537.68,94639966.74,72.16,2780755.90,16106337.51,3122994.12,2755193.31,14732859.57,7039480.67
2004May,87069078.12,79.50,93479887.70,69.90,15989064.06,78.46,20402821.49,75.37,50453090.91,85.53,63462111.93,76.75,10065461.73,93.26,3679153.15,4498608.14,7687437.95,5893803.37,25860437.41,11985556.62,88659460.81,82.47,4404738.54,14112333.65,4848096.21,1897074.37,9973059.58,5910971.15,20689970.17,72.58,26557317.01,68.66,47132838.94,76.90,83699921.17,75.20,3574783.32,5521204.85,3573009.33,5091111.46,19092967.76,17330658.11,96652728.35,73.60,2721232.57,17126298.65,3136323.45,2845159.80,15194304.59,7882236.35
2004Apr,90019246.61,83.80,95250235.05,71.90,15989088.13,79.21,21349626.30,79.31,50686481.26,88.63,64771635.99,79.04,9383476.44,95.69,3996731.08,4492412.29,7947781.73,5392660.04,25855349.56,11583784.42,89742729.45,85.26,4657892.84,15526805.70,4846705.42,1845594.11,9936638.55,6353663.05,20847406.32,73.77,26322818.71,68.32,46210894.69,75.89,83072562.43,74.83,3257025.48,5684550.21,3584034.82,5413893.82,18871520.41,17315117.11,95410089.55,73.12,2681530.09,16802209.53,2972198.55,2771025.17,14797271.36,7557500.48
2004Mar,92552349.51,87.50,101482396.92,77.30,14634310.05,74.44,20435285.84,75.80,48825165.13,86.94,61183243.23,75.45,9796754.51,103.25,3689493.84,4144830.34,7187788.25,5744593.10,24094761.23,11589097.88,85073988.87,81.99,4659280.70,14761521.97,4800295.85,1786097.00,8777138.28,5723943.53,19271034.43,69.05,25578588.60,67.01,45136771.96,74.91,79824144.68,72.64,3177798.45,5305216.57,3180455.19,4871865.17,18226351.99,16743914.30,92319261.49,71.50,2818345.91,16329253.47,2920083.67,2645060.34,14277301.60,7852527.41
2004Feb,81093942.52,77.80,86961143.80,66.40,15227431.99,77.36,20425842.92,75.98,48382499.67,88.17,61974230.39,76.93,9277388.46,104.17,3592885.43,4437954.83,6929764.61,5259804.40,24399716.74,11743310.04,85306426.10,83.42,4561715.76,14781136.50,4674255.13,1714216.75,8846239.69,5810335.50,20605520.99,73.56,25338573.68,66.56,44743900.34,74.55,80374187.59,73.24,3051363.48,5212785.50,3228028.31,4875624.07,18328952.46,17302382.53,92872446.67,72.02,2833340.40,16055046.16,2737896.43,2533457.03,14945591.90,7990448.25
